623 20708 3676 17032 37656
624 20724 3711 17013 37675
625 20732 3728 17004 37738
626 20719 3698 17021 37881
627 20719 3766 16953 37972
628 20707 3807 16900 38014
629 20603 3666 16937 38164
630 20549 3588 16961 38255
631 20531 3675 16856 38268
632 20572 3651 16921 38403
633 20614 3778 16836 38478
634 20600 3746 16854 38590
635 20620 3769 16851 38563
636 20642 3766 16876 38634
637 20687 3798 16889 38694
638 20643 3826 16817 38738
639 20691 3879 16812 38788
640 20812 3843 16969 38787
641 20820 3776 17044 38855
642 20863 3803 17060 38901
643 20899 3817 17082 38937
644 20942 3848 17094 38975
645 21091 3887 17204 38956
646 21107 3907 17200 38909
647 21148 3887 17261 38952
648 21181 3904 17277 38963
649 21225 3899 17326 38971
650 21337 3885 17452 39018
651 21417 3912 17505 39007
652 21479 3970 17509 38964
653 21474 3904 17570 38952
654 21567 3932 17635 38927
655 21620 3960 17660 38944
656 21750 4027 17723 38853
657 21786 4063 17723 38790
658 21833 3980 17853 38751
659 21883 3987 17896 38668
660 22014 3981 18033 38579
661 22056 4025 18031 38492
662 22118 3954 18164 38498
663 22179 3993 18186 38399
664 22187 4005 18182 38327
665 22164 4022 18142 38251
666 22229 4071 18158 38162
667 22301 4068 18233 38083
668 22350 4141 18209 37916
669 22309 4118 18191 37849
670 22301 4072 18229 37796
671 22387 4059 18328 37639
672 22443 4034 18409 37565
673 22414 4089 18325 37371
674 22332 3971 18361 37399
675 22339 3989 18350 37295
676 22313 3946 18367 37272
677 22281 3964 18317 37204
678 22239 3912 18327 37183
679 22195 3965 18230 37134
680 22282 3980 18302 37078
681 22223 3931 18292 37087
682 22265 3966 18299 36948
683 22157 3926 18231 36894
684 22085 3860 18225 36829
685 22103 3844 18259 36758
686 22131 3862 18269 36771
687 22076 3883 18193 36776
688 22125 3947 18178 36689
689 22070 3972 18098 36640
690 22044 3902 18142 36589
691 21983 3864 18119 36534
692 21960 3900 18060 36504
693 21939 3889 18050 36469
694 21915 3873 18042 36451
695 21883 3828 18055 36445
696 21840 3813 18027 36437
697 21791 3794 17997 36430
698 21663 3721 17942 36500
699 21647 3772 17875 36465
700 21595 3815 17780 36472
701 21496 3758 17738 36495
702 21424 3755 17669 36545
703 21359 3786 17573 36592
704 21408 3808 17600 36577
705 21323 3755 17568 36621
706 21238 3757 17481 36677
707 21214 3731 17483 36740
708 21129 3713 17416 36816
709 21141 3752 17389 36888
710 21024 3763 17261 36994
711 21011 3741 17270 37067
712 20912 3713 17199 37194
713 20924 3668 17256 37314
714 20827 3613 17214 37438
715 20773 3626 17147 37570
716 20746 3700 17046 37617
717 20759 3699 17060 37696
718 20698 3759 16939 37682
719 20671 3820 16851 37744
720 20670 3821 16849 37777
721 20667 3744 16923 37924
722 20621 3664 16957 37994
723 20574 3660 16914 38064
724 20611 3722 16889 38089
725 20617 3718 16899 38167
726 20517 3645 16872 38327
727 20535 3680 16855 38383
728 20598 3673 16925 38427
729 20700 3865 16835 38396
730 20758 3855 16903 38404
731 20828 3904 16924 38473
732 20867 3849 17018 38531
733 21009 3890 17119 38500
734 21075 3831 17244 38465
735 21112 3899 17213 38519
736 21056 3882 17174 38576
737 21013 3799 17214 38678
738 21067 3865 17202 38590
739 21119 3859 17260 38619
740 21107 3848 17259 38682
741 21163 3828 17335 38743
742 21201 3810 17391 38861
743 21312 3867 17445 38842
744 21385 3948 17437 38746
745 21439 3970 17469 38715
746 21469 3927 17542 38727
747 21445 3906 17539 38787
748 21458 3851 17607 38835
749 21517 3916 17601 38814
750 21605 3894 17711 38778
751 21605 3914 17691 38778
752 21654 3932 17722 38769
753 21677 3957 17720 38718
754 21657 3918 17739 38774
755 21691 3889 17802 38691
756 21725 3928 17797 38633
757 21685 3870 17815 38616
758 21688 3885 17803 38509
759 21641 3893 17748 38511
760 21627 3962 17665 38462
761 21693 3987 17706 38346
762 21696 3981 17715 38280
763 21686 3970 17716 38188
764 21633 3859 17774 38163
765 21710 3888 17822 38094
766 21803 3906 17897 38043
767 21833 3907 17926 37907
768 21888 3998 17890 37866
769 21854 3914 17940 37853
770 21911 3943 17968 37734
771 21983 4061 17922 37593
772 21932 4003 17929 37571
773 22031 4064 17967 37481
774 22074 4022 18052 37445
775 22086 4006 18080 37355
776 22085 3979 18106 37270
777 22106 3972 18134 37201
778 22051 3850 18201 37259
779 22004 3859 18145 37212
780 22016 3871 18145 37154
781 21997 3900 18097 37048
782 21992 3899 18093 37120
783 21913 3804 18109 37147
784 21929 3811 18118 37139
785 21808 3774 18034 37188
786 21802 3773 18029 37160
787 21821 3838 17983 37126
788 21825 3895 17930 37060
789 21737 3773 17964 37114
790 21707 3802 17905 37061
791 21640 3784 17856 37068
792 21589 3798 17791 37018
793 21507 3803 17704 36974
794 21520 3892 17628 36938
795 21501 3871 17630 37004
796 21503 3870 17633 37044
797 21483 3841 17642 36974
798 21391 3771 17620 37070
799 21369 3771 17598 37136
800 21260 3693 17567 37193
801 21202 3696 17506 37243
802 21147 3661 17486 37282
803 21075 3737 17338 37349
804 21093 3814 17279 37378
805 21069 3867 17202 37345
806 21032 3781 17251 37447
807 21095 3792 17303 37524
808 21053 3809 17244 37528
809 20986 3782 17204 37648
810 20969 3726 17243 37749
811 20961 3725 17236 37781
812 21000 3771 17229 37759
813 20992 3716 17276 37806
814 20963 3770 17193 37830
815 20938 3722 17216 37884
816 20893 3657 17236 37962
817 20943 3725 17218 38057
818 20916 3782 17134 38026
819 20949 3816 17133 38118
820 20961 3816 17145 38135
821 21035 3863 17172 38160
822 21098 3917 17181 38116
823 21109 3936 17173 38180
824 21053 3832 17221 38290
825 21115 3817 17298 38296
826 21166 3870 17296 38285
827 21204 3847 17357 38241
828 21250 3873 17377 38305
829 21248 3879 17369 38352
830 21369 3907 17462 38299
831 21371 3913 17458 38384
832 21412 3990 17422 38353
833 21493 3950 17543 38351
834 21573 3923 17650 38281
835 21618 3919 17699 38154
836 21640 3857 17783 38208
837 21619 3847 17772 38271
838 21608 3840 17768 38333
